content_id,screen,language,issue,current_text,recommended_text,canonical_name,notes
txt-5290847dd891,YouNew/ViewModels/AppStateViewModel.swift,mixed,mixed_english_dutch,"Gemeente, IND, UWV, and official procedures.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-c117910ad5aa,YouNew/en.lproj/Localizable.strings,und,scope_ambiguity,Kingdom of the Netherlands,Kingdom of the Netherlands,Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-d800f4873544,YouNew/en.lproj/Localizable.strings,und,scope_ambiguity,"After Napoleon’s defeat, the Kingdom of the Netherlands was established. Belgium later separated and became independent.","After Napoleon’s defeat, the Kingdom of the Netherlands was established. Belgium later separated and became independent.",Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-568a890d1e22,YouNew/Core/DesignSystem/Tokens/AppContent.swift,mixed,mixed_english_dutch,"DigiD, BSN, gemeente, healthcare, housing, and taxes.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-4f461861ef0a,YouNew/Core/Localization/L10n.swift,und,canonical_name_conflict,The Hague Binnenhof,Den Haag Binnenhof,Den Haag,Store canonical and localized display name separately.
txt-de3ac8682d58,YouNew/Core/Localization/L10n.swift,mixed,mixed_english_dutch,Register your address at the gemeente for official mail.,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-861893af0dda,YouNew/Core/Localization/L10n.swift,und,canonical_name_conflict,The Hague,Den Haag,Den Haag,Store canonical and localized display name separately.
txt-ecb6c041d570,YouNew/Core/Localization/L10n.swift,mixed,mixed_english_dutch,"Understand DigiD, BSN, gemeente, healthcare, housing, and taxes.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-e8504d0c7908,YouNew/App/AppTabView.swift,und,scope_ambiguity,Kingdom of the Netherlands,Kingdom of the Netherlands,Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-8806ea26e91f,YouNew/App/AppTabView.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-d84a6005943f,YouNew/App/AppTabView.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-115ac2280908,YouNew/App/AppTabView.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-9775d39e4986,YouNew/Models/ResourceLinkItem.swift,mixed,mixed_english_dutch,Government.nl: Zorgverzekering uitgelegd,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-906f2bf52f9f,YouNew/Models/ProfileBlueprint.swift,mixed,mixed_english_dutch,gemeente and housing,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-4e20f937dc6b,YouNew/Models/PremiumNetherlandsMapModel.swift,und,canonical_name_conflict,The Hague,Den Haag,Den Haag,Store canonical and localized display name separately.
txt-24ea50a189d7,YouNew/Data/KNMGuideData.swift,mixed,mixed_english_dutch,Government.nl - Zorgverzekering,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-a349a91bae90,YouNew/Data/NetherlandsData.swift,und,scope_ambiguity,Kingdom of the Netherlands,Kingdom of the Netherlands,Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-62b3209a0ebe,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,Amsterdam (city) · The Hague (government),Amsterdam (city) · Den Haag (government),Den Haag,Store canonical and localized display name separately.
txt-8cf92c3517aa,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,"International schools operate in Amsterdam, The Hague, Rotterdam, Utrecht, Eindhoven, Maastricht, and other regions","International schools operate in Amsterdam, Den Haag, Rotterdam, Utrecht, Eindhoven, Maastricht, and other regions",Den Haag,Store canonical and localized display name separately.
txt-1318262ee553,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,Rotterdam The Hague Airport,Rotterdam The Hague Airport,Den Haag,Store canonical and localized display name separately.
txt-c7826b14ae6d,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,North Holland,Noord-Holland,Noord-Holland,Store canonical and localized display name separately.
txt-f3ab26346d3c,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-7ca5cd63f845,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,The heartland of the Dutch Republic and the VOC empire. North Holland's merchant class built the canal rings of Amsterdam and funded the Dutch Golden Age. Alkmaar's famous cheese market dates to 1365.,The heartland of the Dutch Republic and the VOC empire. Noord-Holland's merchant class built the canal rings of Amsterdam and funded the Dutch Golden Age. Alkmaar's famous cheese market dates to 1365.,Noord-Holland,Store canonical and localized display name separately.
txt-33c64ba0a935,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,Den Haag (The Hague),Den Haag (Den Haag),Den Haag,Store canonical and localized display name separately.
txt-c97aa46a6bfd,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,"🏖️ Zeelandse beaches — pristine, quieter than North Holland","🏖️ Zeelandse beaches — pristine, quieter than Noord-Holland",Noord-Holland,Store canonical and localized display name separately.
txt-e61b088d5fa6,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,Recognize The Hague as a city of international law and diplomacy.,Recognize Den Haag as a city of international law and diplomacy.,Den Haag,Store canonical and localized display name separately.
txt-b3afc9882e90,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,Use the Netherlands' best-known urban beach as the coast-facing side of The Hague.,Use the Netherlands' best-known urban beach as the coast-facing side of Den Haag.,Den Haag,Store canonical and localized display name separately.
txt-be6ba5cf157e,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,It makes The Hague's peace-and-justice identity immediately visible.,It makes Den Haag's peace-and-justice identity immediately visible.,Den Haag,Store canonical and localized display name separately.
txt-e20d07017428,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,It explains why The Hague is both a government city and a seaside destination.,It explains why Den Haag is both a government city and a seaside destination.,Den Haag,Store canonical and localized display name separately.
txt-8fb459491e3e,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,It is a specific North Holland tourism ritual with Alkmaar's cheese carriers and Waagplein setting.,It is a specific Noord-Holland tourism ritual with Alkmaar's cheese carriers and Waagplein setting.,Noord-Holland,Store canonical and localized display name separately.
txt-bbdd54e2e4bb,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,"Though Amsterdam is the constitutional capital, The Hague is where the Dutch government works. Parliament, ministries, the Supreme Court, and Royal Palace Noordeinde are located here. The city hosts the International Court of Justice, International Criminal Court, Europol, and many diplomatic missions.","Though Amsterdam is the constitutional capital, Den Haag is where the Dutch government works. Parliament, ministries, the Supreme Court, and Royal Palace Noordeinde are located here. The city hosts the International Court of Justice, International Criminal Court, Europol, and many diplomatic missions.",Den Haag,Store canonical and localized display name separately.
txt-97d9e1c4b24f,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,"The Hague grew around the hunting lodge of Count Floris IV in the 13th century. It became the meeting place of the States General in 1585 and has been the seat of Dutch government ever since. The Hague Peace Conferences of 1899 and 1907 helped establish modern international arbitration, and after World War II the city became a global center of international law.","Den Haag grew around the hunting lodge of Count Floris IV in the 13th century. It became the meeting place of the States General in 1585 and has been the seat of Dutch government ever since. Den Haag Peace Conferences of 1899 and 1907 helped establish modern international arbitration, and after World War II the city became a global center of international law.",Den Haag,Store canonical and localized display name separately.
txt-2594450c65ff,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,"The Hague has one of Europe's strongest diplomatic and legal expat communities, supported by ACCESS and international newcomer networks.","Den Haag has one of Europe's strongest diplomatic and legal expat communities, supported by ACCESS and international newcomer networks.",Den Haag,Store canonical and localized display name separately.
txt-6e18ee9f1094,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,"Leiden Centraal has direct Intercity service to Amsterdam, The Hague, Rotterdam, Schiphol, and Utrecht.","Leiden Centraal has direct Intercity service to Amsterdam, Den Haag, Rotterdam, Schiphol, and Utrecht.",Den Haag,Store canonical and localized display name separately.
txt-59918153a375,YouNew/Data/NetherlandsData.swift,und,canonical_name_conflict,"Eindhoven station connects to Amsterdam, Venlo, The Hague, Maastricht, and Eindhoven Airport.","Eindhoven station connects to Amsterdam, Venlo, Den Haag, Maastricht, and Eindhoven Airport.",Den Haag,Store canonical and localized display name separately.
txt-8ffb57cacaa7,YouNew/Data/NetherlandsData.swift,mixed,mixed_english_dutch,Gemeente \(city.name),Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
