content_id,current_screen,claim,verification_status,required_source_type,source_url,last_checked_at,notes
txt-836dfcabbfba,YouNew/ViewModels/MapViewModel.swift:326,Confirm required next actions.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-dea2f32528ac,YouNew/ViewModels/MapViewModel.swift:331,Know mandatory coverage rules.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-590e37721c8c,YouNew/ViewModels/MapViewModel.swift:406,Required documents,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-75f4e8233743,YouNew/en.lproj/Localizable.strings:219,"Prepared sizes: 16, 32, 64, 128, 256, 512, 1024 px. AppIcon is assigned in Assets.xcassets.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-d7ce55b96d8b,YouNew/en.lproj/Localizable.strings:915,"Map of the Netherlands, 1631",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-66a42ae9743d,YouNew/en.lproj/Localizable.strings:921,"The Night Watch, 1642",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-311fc0475659,YouNew/en.lproj/Localizable.strings:923,"The Anatomy Lesson of Dr Nicolaes Tulp, 1632",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-968bac234a55,YouNew/en.lproj/Localizable.strings:936,411–1000,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-90239b46e9a3,YouNew/en.lproj/Localizable.strings:941,1000–1384,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-7a97b04c9423,YouNew/en.lproj/Localizable.strings:946,1384–1482,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-ff3c948783ac,YouNew/en.lproj/Localizable.strings:951,1482–1581,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-79297541b754,YouNew/en.lproj/Localizable.strings:956,1568–1648,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-11986d38016f,YouNew/en.lproj/Localizable.strings:959,The northern provinces broke with Spanish rule and built the Republic of the Seven United Netherlands. International recognition came with the Peace of Westphalia in 1648.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-4e2233052edb,YouNew/en.lproj/Localizable.strings:961,1568–1648,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-5c0c58573768,YouNew/en.lproj/Localizable.strings:964,The northern provinces broke with Spanish rule and built the Republic of the Seven United Netherlands. International recognition came with the Peace of Westphalia in 1648.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
