evidence_id,title,type,as_of,location_or_url,scope,limitation
E-001,"Investor assessment supplied by owner",local_source,"2026-07-29","/Users/ivan/.codex/attachments/28ff6ed3-20a9-44ac-8dec-0a9ad011df55/pasted-text.txt","Investor score, gaps and milestones","Internal assessment; market citations require source-level review for external use."
E-002,"Current system and sale readiness",local_source,"2026-07-30","../../RELEASE_READINESS_2026-07-30.md","Cross-system audit decision and evidence matrix","No independent assurance; production mutations were intentionally excluded."
E-003,"KPI framework v19",local_source,"2026-07-30","../../docs/KPI_FRAMEWORK_V19.md","Metric definitions and consent limitations","Insufficient audience volume for reliable KPI conclusions."
E-004,"Content readiness matrix",local_source,"2026-07-30","../../DataProject/quality/content-readiness-matrix.json","Guide inventory and publication-gate gaps","Generated audit of repository state."
E-005,"Freshness dashboard",local_source,"2026-07-30","../../DataProject/reports/freshness-dashboard.json","Governed source freshness","Includes historical governed records."
E-006,"System map",local_source,"2026-07-30","../../docs/SYSTEM_MAP.md","Components, authority and data flow","Authenticated Admin workflows remain unverified."
E-007,"Deployment runbook",local_source,"2026-07-29","../../docs/DEPLOYMENT_RUNBOOK.md","Release, backup and verification process","Execution still requires clean release identity and owner authority."
E-008,"Rollback runbook",local_source,"2026-07-29","../../docs/ROLLBACK_RUNBOOK.md","Component-specific recovery process","No current isolated restore rehearsal evidence."
E-009,"Asset rights status",local_source,"2026-07-30","../../BuildWeekFix/ASSET_RIGHTS_STATUS.json","170 iOS assets and provenance evidence","Engineering evidence; not a legal opinion."
E-010,"Advertiser platform contract",local_source,"2026-07-30","../../docs/ADVERTISER_PLATFORM_CONTRACT.md","Current boundary and target modules","Target contract, not proof of a released advertiser system."
E-011,"Repository state snapshot",local_source,"2026-07-30","verification-summary.json","Branch, SHA and divergence","Working tree changes include owner/pre-existing work."
E-012,"GitHub CI definitions",local_source,"2026-07-30","../../.github/workflows/product-ci.yml","Static QA, iOS, web and backend gates","Current dirty state has not run as an isolated remote SHA."
E-013,"Production endpoints",primary_runtime,"2026-07-30","https://younew.nl/ ; https://admin.younew.nl/","Live public and Admin entry points","Smoke/access check only; no authenticated mutation."
E-014,"YouNew Financial Audit",local_model,"2026-07-28","/Users/ivan/Desktop/Developer:YouNew/outputs/younew-financial-audit-2026-07-28/financial_audit_report.html","Replacement-cost and screening valuation model","Predates current telemetry snapshot; screening-only."
E-015,"YouNew buyer universe and sale structures",local_model,"2026-07-28","/Users/ivan/Desktop/Developer:YouNew/outputs/younew-buyer-universe-2026-07-28/YouNew_Advance_Sale_and_Global_Buyers_2026-07-28.html","Buyer categories and staged structures","Target universe is not buyer interest or a transaction."
E-016,"European Commission GDPR obligations",official_web,"current","https://commission.europa.eu/law/law-topic/data-protection/rules-business-and-organisations_en","GDPR business obligations","Applicability and implementation require legal review."
E-017,"European Commission Digital Services Act",official_web,"2026-05-18","https://digital-strategy.ec.europa.eu/en/policies/digital-services-act","Platform and advertising transparency context","YouNew classification and obligations are not formally determined."
E-018,"European Commission AI Act Article 50 guidelines",official_web,"2026-07-29","https://digital-strategy.ec.europa.eu/en/library/guidelines-transparency-obligations-providers-and-deployers-ai-systems","AI transparency obligations applying from 2 August 2026","System-specific legal applicability requires review."
E-019,"W3C WCAG 2.2",official_web,"2024-12-12","https://www.w3.org/TR/WCAG22/","Accessibility standard","No formal third-party conformance audit."
E-020,"Verification execution record",local_source,"2026-07-30","verification-summary.json","Commands, counts and blocked tests","Derived from the audit session; not independent assurance."
E-021,"Unsigned iOS device Release build log",local_source,"2026-07-30","ios-release-build.log","Exact CI device Release gate ends with BUILD SUCCEEDED","Unsigned local build; not executable test or App Store archive validation."
