content_id,current_screen,current_text,problem_type,recommended_category,recommended_text,source_required,source_url,last_verified_at,notes
txt-48519cbfd14f,YouNew/ViewModels/AIViewModel.swift:171,Waar kan ik dit officieel controleren?,duplicate_exact_text,explore,Reference canonical item txt-48519cbfd14f; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-57aebcce2b65,YouNew/ViewModels/AIViewModel.swift:178,Where can I verify this officially?,duplicate_exact_text,official-services,Reference canonical item txt-57aebcce2b65; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-2f93b5222710,YouNew/ViewModels/AIViewModel.swift:540,муниципалитет,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-2f93b5222710; do not store another copy.,false,,,Duplicate occurrences: 46.
txt-2bde83c724c5,YouNew/ViewModels/AIViewModel.swift:540,регистрац,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-2bde83c724c5; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-2e0c7f6bfa6a,YouNew/ViewModels/AIViewModel.swift:545,университет,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-2e0c7f6bfa6a; do not store another copy.,false,,,Duplicate occurrences: 5.
txt-a79c173dc933,YouNew/ViewModels/AIViewModel.swift:653,Найти подходящую информацию,duplicate_exact_text,explore,Reference canonical item txt-a79c173dc933; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-d5d1c02ceef7,YouNew/ViewModels/AIViewModel.swift:654,Zoek relevante informatie,duplicate_exact_text,explore,Reference canonical item txt-d5d1c02ceef7; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-93af92faa411,YouNew/ViewModels/AIViewModel.swift:655,Search relevant information,duplicate_exact_text,explore,Reference canonical item txt-93af92faa411; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-5019bd1292fa,YouNew/ViewModels/AIViewModel.swift:661,"Откройте поиск с фильтром вашего профиля, чтобы избежать нерелевантных шагов.",duplicate_exact_text,explore,Reference canonical item txt-5019bd1292fa; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-d3ec9e2b1169,YouNew/ViewModels/AIViewModel.swift:662,Open zoeken met je profielfilter om irrelevante stappen te vermijden.,duplicate_exact_text,explore,Reference canonical item txt-d3ec9e2b1169; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-420b833f36c0,YouNew/ViewModels/AIViewModel.swift:663,Open search with your profile filter to avoid irrelevant next steps.,duplicate_exact_text,explore,Reference canonical item txt-420b833f36c0; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-9119f091b619,YouNew/ViewModels/AIViewModel.swift:678,Official sources,duplicate_cross_category|duplicate_exact_text,official-services,Reference canonical item txt-9119f091b619; do not store another copy.,false,,,Duplicate occurrences: 58.
txt-fb7105af5e72,YouNew/ViewModels/AIViewModel.swift:829,Where can I verify this officially?,duplicate_exact_text,official-services,Reference canonical item txt-57aebcce2b65; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-f07778969e5f,YouNew/ViewModels/AIViewModel.swift:830,Waar kan ik dit officieel controleren?,duplicate_exact_text,explore,Reference canonical item txt-48519cbfd14f; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-1afd5196c05c,YouNew/ViewModels/AIViewModel.swift:860,When should I call 112?,duplicate_exact_text,health-and-safety,Reference canonical item txt-1afd5196c05c; do not store another copy.,false,,,Duplicate occurrences: 7.
