risk_id,priority,risk,impact,probability,current_control,required_close_condition,owner,status
R-001,P0,"No clean release SHA/tag and dirty divergent branch","Buyer cannot reproduce or safely accept the handover.",high,"CI definitions and local verification exist.","Review file perimeter; reconcile branch; create signed/tagged candidate; green CI on exact SHA.","Owner + engineering",open
R-002,P0,"No fresh database dump and isolated restore evidence","Data loss and business-continuity risk.",medium,"Manual runbook and repository backup workflow.","Encrypted off-site dump; SHA-256; pg_restore list; isolated restore rehearsal; retention owner.","Owner + operations",open
R-003,P0,"Corporate and IP title chain incomplete","Buyer may not obtain transferable ownership.",medium,"Engineering media inventory and owner attestation.","Entity documents; contributor/IP assignments; domain/App Store/repository ownership; counsel review.","Owner + counsel",open
R-004,P0,"No real revenue, partner or customer evidence","Operating-business valuation cannot be supported.",high,"Reviewed inquiry path and KPI framework.","Executed contracts, invoices, bank receipts and active counterparties; otherwise sell as assets/IP only.","Owner + commercial",open
R-005,P0,"Zero production-ready practical guides","Core life-navigation proposition is not fully substantiated.",high,"20 scaffolds, research programme and fail-closed publication gate.","40–50 official-source-backed guides with named human approval; at least 50 for seed milestone.","Editorial owner",open
R-006,P1,"Authenticated Admin E2E not completed","Role/PII workflows remain unproven in production.",medium,"Local role tests and anonymous redirect.","Owner/admin allowed paths plus unapproved-user denial; evidence without credentials/PII.","Owner + QA",open
R-007,P1,"iOS runtime tests blocked locally","Regression evidence is incomplete.",medium,"Debug compile/link and exact unsigned device Release gate pass; CI workflow selects a clean simulator.","Green unit/UI result on clean CI or repaired CoreSimulator; signed archive validation.","iOS engineering",open
R-008,P1,"Supabase Free lacks leaked-password protection and managed backups","Weaker auth and recovery posture.",medium,"Accepted risk, strong-password/MFA guidance and manual backup gate.","Upgrade or document buyer-accepted compensating controls plus verified backup/monitoring.","Owner + security",open
R-009,P1,"Legal/accessibility classification incomplete","Regulatory or remediation cost may transfer to buyer.",medium,"Engineering compliance matrix and fail-closed ad/AI/content controls.","GDPR records/DPIA decision; DSA classification; AI disclosure inventory; WCAG 2.2 AA audit.","Counsel + accessibility reviewer",open
R-010,P1,"Advertiser and Country Pack are specifications, not proven systems","Growth/scalability claims could be overstated.",high,"Typed disabled placement rules and architecture contracts.","Production advertiser workflow plus paid pilots; Belgium pack released in <=90 days.","Product + engineering",open
