claim_id,claim,classification,status,evidence_ids,qualification
C-001,"YouNew is an integrated product consisting of iOS, public web, Admin, Supabase, DataProject and GitHub/CI components.",fact,confirmed,"E-002;E-006;E-012","Component availability does not by itself prove commercial traction."
C-002,"The public site, protected Admin entry point and connected Supabase project are reachable.",fact,confirmed,"E-002;E-013","Authenticated Admin workflows were not exercised."
C-003,"The local public candidate passed its full pre-deployment check: 585 static routes, 575 indexable URLs, 83 tests and 47,462 internal reference/asset checks.",fact,confirmed,"E-002;E-020","Result applies to the audited dirty working tree, not a signed release SHA."
C-004,"The governed content system contains 450 records and projects 186 public records.",fact,confirmed,"E-002;E-004","Governed inventory is not equivalent to full practical-guide coverage."
C-005,"YouNew has 15 public summary guides, 20 guide scaffolds and 0 production-ready practical guides.",fact,confirmed,"E-001;E-002;E-004","No full-guide claim is permitted until the human publication gate passes."
C-006,"Freshness compliance is 440 of 450 governed records, or 97.8%, above the investor's 95% milestone.",fact,confirmed,"E-002;E-005","The 10 exceptions are time-sensitive historical event records; freshness requires continued operations."
C-007,"The engineering rights gate inventories 170 iOS assets with no unresolved gate failure.",fact,confirmed,"E-002;E-009","This is not a legal IP/title-chain or official-emblem opinion."
C-008,"The three recorded business inquiries are test records; revenue and real paid demand are not proven.",fact,confirmed,"E-001;E-002","Do not present test records as customers or pipeline."
C-009,"The current candidate is not a clean transferable release because the branch is dirty and divergent and has no isolated release tag.",fact,confirmed,"E-002;E-011","A buyer handover should be tied to a reviewed SHA and green CI."
C-010,"The iOS Debug app/test targets compile/link and the exact unsigned device Release CI gate passes; executable local tests remain blocked by CoreSimulator installation/launch stalls.",fact,confirmed,"E-002;E-020;E-021","The build pass is not an executable unit/UI test pass or a signed App Store archive validation."
C-011,"Technical product readiness is assessed at 7.8/10, transaction readiness at 5.5/10 and institutional-seed readiness at 5.3/10.",assessment,qualified,"E-001;E-002","Internal assessment, not a valuation, assurance opinion or guarantee."
C-012,"The 28 July financial audit gives a screening-only orderly asset/IP sale range of EUR 147k–303k with an illustrative midpoint of EUR 225k.",third_party_internal_estimate,qualified,"E-014","The model predates the latest Supabase snapshot and is not a formal valuation opinion."
C-013,"The recommended transaction posture is a controlled asset/IP sale or staged license/pilot, not a representation of a proven operating business.",recommendation,qualified,"E-002;E-014;E-015","Final structure depends on buyer intent, tax, legal, IP and liability review."
